"","Cell.ID","Value","Std.Error","p.value"
"451","9225",1.07345005482341e-06,2.92305238621057e-07,0.000673723734405468
"452","9226",4.39640235134749e-07,5.84245742251658e-07,0.455952217524719
"453","9227",4.39640235134749e-07,5.84245742251658e-07,0.455952217524719
"454","9228",4.39640235134749e-07,5.84245742251658e-07,0.455952217524719
"455","9229",4.39640235134749e-07,5.84245742251658e-07,0.455952217524719
"456","9230",7.80704116297305e-07,4.64317820269326e-07,0.100107867539425
"457","9231",8.02078146424471e-07,4.52363658925846e-07,0.0834671241656914
"458","9232",8.26241139969392e-07,9.81143702761837e-07,0.404490404611734
"459","9508",0,0,1
"460","9509",0,0,1
"461","9540",3.16286553301063e-07,2.61970584940149e-07,0.23405820017611
"462","9586",4.55955618189813e-07,3.46165241578081e-07,0.194925605757599
"463","9596",5.9694950268982e-07,2.17381739662869e-07,0.00884148026145531
"464","9597",2.60337591283434e-07,1.14262521939164e-07,0.0278517764966263
"465","9598",0,0,1
"466","9599",0,0,1
"467","9600",0,0,1
"468","9601",0,0,1
"469","9602",0,0,1
"470","9603",0,0,1
"471","9604",0,0,1
"472","9605",0,0,1
"473","9606",1.1861174677404e-07,1.58118414281654e-07,0.457349217145775
"474","9607",1.1861174677404e-07,1.58118414281654e-07,0.457349217145775
"475","9608",0,0,1
"476","9609",1.52656934299884e-07,1.61599169381774e-07,0.350233406880294
"477","9610",1.52656934299884e-07,1.61599169381774e-07,0.350233406880294
"478","9611",5.38551962813767e-07,1.93339322695296e-07,0.00798429106467934
"479","9624",5.01603857635015e-07,3.33124598614948e-07,0.139614702238213
"480","9625",2.80120754741595e-07,1.47159707361347e-07,0.0638409824206203
"481","9626",2.24716088235721e-07,3.62293677945476e-07,0.53843811409577
"482","9627",2.24716088235721e-07,3.62293677945476e-07,0.53843811409577
"483","9633",0,0,1
"484","9634",0,0,1
"485","9635",2.00480577349947e-07,2.04378172253074e-07,0.332244492501791
"486","9636",4.51552046616908e-07,3.16767405456777e-07,0.161402665625649
"487","9637",2.80120754741595e-07,1.47159707361347e-07,0.0638409824206202
"488","9638",0,0,1
"489","9639",4.45741762912642e-07,1.37235317404339e-07,0.00228855115431416
"490","9640",4.20812601212119e-07,2.0680493162185e-07,0.0482123828736147
"491","9641",4.98464700607406e-07,2.25111665845009e-07,0.0322897271863755
"492","9642",4.8062880746506e-07,2.29372113358685e-07,0.0422023005617562
"493","9643",3.03815562870339e-07,1.43558378351445e-07,0.040285931739212
"494","9644",0,0,1
"495","9645",0,0,1
"496","9646",0,0,1
"497","9647",0,0,1
"498","9648",0,0,1
"499","9649",0,0,1
"500","9650",0,0,1
"501","9651",0,0,1
"502","9652",0,0,1
"503","9653",0,0,1
"504","9654",0,0,1
"505","9655",0,0,1
"506","9656",0,0,1
"507","9684",0,0,1
"508","9685",0,0,1
"509","9686",0,0,1
"510","9717",0,0,1
"511","9718",0,0,1
"512","9719",0,0,1
"513","9720",0,0,1
"514","9722",0,0,1
"515","9723",0,0,1
"516","9724",0,0,1
"517","9725",0,0,1
"518","9830",1.1472807924243e-06,2.86559187646326e-07,0.000248786384301313
"519","9831",1.15918084060941e-06,2.44332553494677e-07,2.4313607336636e-05
"520","9832",1.15918084060941e-06,2.44332553494677e-07,2.4313607336636e-05
"521","9833",1.15918084060941e-06,2.44332553494677e-07,2.4313607336636e-05
"522","9849",1.03921094631282e-06,3.82401778611168e-07,0.0095130705770782
"523","9850",8.519236586608e-07,3.14830679597934e-07,0.00980005997197294
"524","9851",1.08578099168902e-06,2.56110543987569e-07,0.000120174975223256
"525","9852",1.12047759695219e-06,3.73356026092247e-07,0.00451288004630365
"526","9853",1.10505698681804e-06,3.56868849149708e-07,0.0034818722323742
"527","9854",1.10505698681804e-06,3.56868849149708e-07,0.0034818722323742
"528","9855",1.09200401471887e-06,7.44869980140121e-07,0.150086736364263
"529","9859",1.42677034016618e-07,5.36381410685613e-07,0.791541288137063
"530","9860",4.62454769375933e-08,5.31807244722519e-07,0.931117298291302
"531","9862",4.11602715694049e-07,4.02508063074035e-07,0.31235356759619
"532","9863",1.16440231793665e-06,2.45441509801432e-07,2.43262440808982e-05
"533","9864",1.18163116259676e-06,2.47999552089793e-07,2.27730295453404e-05
"534","9865",1.16907951144854e-06,2.4115201758899e-07,1.74177881333094e-05
"535","9866",1.20409421305984e-06,2.2923935763217e-07,4.67203726234567e-06
"536","9867",1.058523725613e-06,2.86095638961781e-07,0.000620978045011695
"537","9868",1.03334942637142e-06,3.5936134550987e-07,0.00630889339967017
"538","9869",8.76890093269788e-07,5.06672870645197e-07,0.0908503655752424
"539","9870",1.24078571153907e-06,6.03160104801077e-07,0.045917222957227
"540","9871",1.26342338935887e-06,6.50777244614277e-07,0.0589378913211582
"541","9872",6.5231352949641e-07,7.65748390460175e-07,0.399120910631891
"542","9873",7.58879727600499e-07,8.58523615953549e-07,0.381763029000895
"543","9874",5.98216967080707e-07,1.15166476265154e-06,0.606183023060924
"544","9875",6.10930583549097e-07,1.4253029039233e-06,0.670381410512753
"545","9876",6.06014958262414e-07,1.10054689528507e-06,0.584791581849715
"546","9877",6.04755806924113e-07,1.1752868877744e-06,0.609557716276301
"547","9878",6.51900696934489e-07,1.31337278671148e-06,0.622231017721805
"548","9879",7.2862292766955e-07,1.36266980191112e-06,0.595675175024168
"549","9880",5.95027072248976e-07,1.59494837724703e-06,0.710972820187567
"550","9881",7.43042568509316e-07,1.57917280605086e-06,0.640413404573304
"551","9882",6.46466720904109e-07,1.95825156311571e-06,0.74294698164123
"552","9883",7.67413998263148e-07,1.61868599559837e-06,0.637886351169078
"553","9884",6.50289928960625e-07,1.5118479171545e-06,0.669300710915451
"554","9885",4.30153241823822e-07,1.62707340103804e-06,0.792786037007199
"555","9886",5.08286354119707e-07,1.87696942895361e-06,0.787870058949543
"556","9887",4.69153566058036e-07,1.90680493782675e-06,0.806848413262833
"557","9888",6.76939858240578e-07,1.93061861618564e-06,0.727615807302483
"558","9889",8.12493580460311e-07,1.74086818831635e-06,0.64311405996329
"559","9890",7.14783370452594e-07,1.81053252736615e-06,0.694994373400334
"560","9891",7.86119958336401e-07,1.78190426744022e-06,0.661353862571231
"561","9892",8.06265471958253e-07,1.94038195041333e-06,0.679877356236309
"562","9893",9.36631787219468e-07,1.69363175429933e-06,0.583173674539256
